text,label,label_id
Paint peeling from bridge wall near Chinhat. Structural check needed.,low,0
Minor road damage near Vibhuti Khand. Vehicles,low,0
Street lights on Sultanpur Road road have been off for a week. Night travel unsafe. No response to previous complaints,medium,1
Nishatganj ke paas ek light thodi weak ho gayi hai. Kaam chal raha hai.,low,0
Street light near Mahanagar is flickering. Still partially working.,low,0
Flash flood near Alambagh. Entire street submerged. People stranded on rooftops.,critical,3
Gomti Nagar ke paas diwar gir gayi. Rasta block ho gaya hai.,high,2
FLASH FLOOD NEAR THAKURGANJ. ENTIRE STREET SUBMERGED. PEOPLE STRANDED ON ROOFTOPS.,critical,3
Street light near Vibhuti Khand is flickering. Still partially working.,low,0
FLOODWATER NEAR CIVIL LINES BLOCKING MAIN ROAD SINCE MORNING. VEHICLES STRANDED. THIS HAS BEEN REPORTED BEFORE WITH NO ACTION.,high,2
Civil Lines ke paas ek light thodi weak ho gayi hai. Kaam chal raha hai. Daily inconvenience for everyone.,low,0
A pothole has developed near Jankipuram. Vehicles are slowing down and swerving.,medium,1
Sector 14 mein badi baadhh aayi. Log chhat par hain. Rescue ki zaroorat hai. Jaldi kuch karo please.,critical,3
Water supply to entire sector cut near Chinhat since last night. Hospital affected.,critical,3
Minor road damage near Sultanpur Road. Vehicles passing without issue. Daily inconvenience for everyone.,low,0
Sewage pipeline burst near Thakurganj. Entire area flooded with waste water.,critical,3
Raw sewage on road near behind the bus stand since morning. Children falling sick,high,2
Indira Nagar mein paani since morning se nahi aa raha. Log tank se kaam chala rahe hain.,medium,1
A pothole has developed near Telibagh. Vehicles are slowing down and swerving.,medium,1
Dustbin near Hazratganj slightly overflowing. Needs cleaning.,low,0
Alambagh mein for 2 days se bijli nahi hai raat ko. Log pareshan hain.,medium,1
Road completely collapsed near Jankipuram. Sinkhole formed. Area cordoned off. Residents are very concerned.,critical,3
Again reporting: Large dangerous pot hole near Jankipuram has caused 2 accidents this week.,high,2
Nishatganj ke paas building ki diwar mein dararein badh rahi hain.,medium,1
Alambagh ke paas sewage pipe phut gayi. Poora area contaminated.,critical,3
Hazratganj ke paas kachra thoda zyada ho gaya. Saaf karna chahiye.,low,0
Minor waterlogging near Telibagh after rain. Clears within an hour.,low,0
Again reporting: Power outage near Sector 14 for a week. Residents and shops affected.,medium,1
Mahanagar ke paas kachra thoda zyada ho gaya. Saaf karna chahiye.,low,0
FLOODWATER NEAR VIBHUTI KHAND BLOCKING MAIN ROAD FOR 2 DAYS. VEHICLES STRANDED.,high,2
Paint peeling from bridge wall near Rajajipuram. Structural check needed.,low,0
Large section of wall collapsed near Alambagh. Road partially blokced.,high,2
Again reporting: Bridge near near the main market has developed serious cracks. Load limit exceeded.,high,2
Kanpur Road ke paas paani mein zeher milne ki khabar,critical,3
Rajajipuram mein badi baadhh aayi. Log chhat par hain. Rescue ki zaroorat hai.,critical,3
Building collapsed near Thakurganj. People trapped under debris. URGENT.,critical,3
Sultanpur Road ke paas paani mein zeher milne ki khabar. Log beemar pad rahe hain. This has been reported before with no action.,critical,3
Drainage blocked near Civil Lines. Water standing on road after every rain. Daily inconvenience for everyone.,medium,1
Faizabad Road ke paas bada gaddha hai. Is hafte,high,2
Minor road damage near Sector 14. Vehicles passing without issue.,low,0
WATER SUPPLY TO ENTIRE SECTOR CUT NEAR ALAMBAGH SINCE LAST NIGHT. HOSPITAL AFFECTED.,critical,3
Exposed live wires hanging near Telibagh footpath after storm. Very dangerous. Daily inconvenience for everyone.,high,2
Flash flood near Telibagh. Entire street submerged. People stranded on rooftops. Daily inconvenience for everyone.,critical,3
Again reporting: Minor pipe leak near Rajajipuram. Small puddle forming.,low,0
Minor pipe leak near Chinhat. Small puddle forming.,low,0
Sector 14 ke paas paani ki pipe phut gayi.,high,2
Chinhat ke paas thoda paani bhara baarish ke baad. Jald saaf ho jaata hai.,low,0
Nishatganj mein since last night se bijli nahi hai raat ko. Log pareshan hain.,medium,1
Nishatganj mein bijli ka pole gir gaya. Kai log zakhmi. Ambulance bhejo.,critical,3
MAJOR SEWAGE OVERFLOW NEAR AMINABAD. CHOLERA RISK. IMMEDIATE ACTION NEEDED. KINDLY TAKE ACTION.,critical,3
Major sewage overflow near Faizabad Road. Cholera risk. Immediate action needed.,critical,3
Waterlogging near Hazratganj since last night. Road is difficult to cross on foot.,medium,1
Live wire on ground near Gomti Nagar. One person already got shock. Emergency. No response to previous complaints.,critical,3
behind the bus stand mein paani for 2 days se nahi aa raha. Log tank se kaam chala rahe hain.,medium,1
Mild smell from drain near Chowk. Not a major issue yet.,low,0
Exposed live wires hanging near Aliganj footpath after storm. Very dangerous.,high,2
EXPOSED LIVE WIRES HANGING NEAR RAJAJIPURAM FOOTPATH AFTER STORM. VERY DANGEROUS. DAILY INCONVENIENCE FOR EVERYONE.,high,2
Hazratganj ke paas ek light thodi weak ho gayi hai. Kaam chal raha hai.,low,0
Nishatganj ke paas paani mein zeher milne ki khabar. Log beemar pad rahe hain. Daily inconvenience for everyone.,critical,3
Power outage near Faizabad Road since morning.,medium,1
Paint peeling from bridge wall near Indira Nagar. Structural check needed.,low,0
Live wire on ground near Telibagh. One person already got shock. Emergency. This has been reported before with no action.,critical,3
Kanpur Road ke paas bada gaddha hai. Is hafte 2 accident ho chuke hain.,high,2
Raw sewage on road near Faizabad Road for 2 days. Children falling sick,high,2
Chinhat ke paas nali jam gayi. Badboo aa rahi hai. Log pareshan hain.,medium,1
Street lights on Sector 14 road have been off since yesterday. Night travel unsafe. Please look into this.,medium,1
Again reporting: Sector 14 mein badi baadhh aayi. Log chhat par hain. Rescue ki zaroorat hai.,critical,3
MAJOR SEWAGE OVERFLOW NEAR RAJAJIPURAM. CHOLERA RISK. IMMEDIATE ACTION NEEDED.,critical,3
SEVERE WATERLOGGING NEAR GOMTI NAGAR. WATER ENTERING GROUND FLOOR SHOPS AND HOMES.,high,2
Water supply disrupted near Thakurganj since yesterday. Residents,medium,1
Floodwater near Chowk blocking main road since morning. Vehicles stranded.,high,2
Vibhuti Khand mein sewage overflow ho raha hai. Ghar,high,2
Drainage blocked near Vibhuti Khand. Water standing on road after every rain.,medium,1
WATER CONTAMINATION REPORTED NEAR CHOWK. PEOPLE FALLING ILL AFTER DRINKING. NO RESPONSE TO PREVIOUS COMPLAINTS.,high,2
Large section of wall collapsed near Chowk. Road partially blocked.,high,2
near the main market mein paani since last night se nahi aa raha. Log tank se kaam chala rahe hain.,medium,1
Boundary wall near Kanpur Road leaning slightly. Could,medium,1
BUILDING COLLAPSED NEAR HAZRATGANJ. PEOPLE TRAPPED UNDER DEBRIS. URGENT.,critical,3
Power outage near Rajajipuram since morning. Residents,medium,1
Large section of wall collapsed near Aminabad.,high,2
Sadak par ek chota sa gaddha hai Sultanpur Road ke paas. Abhi koi accident nahi hua.,low,0
SEWAGE PIPELINE BURST NEAR ALAMBAGH. ENTIRE AREA FLOODED WITH WASTE WATER.,critical,3
Power outage near Telibagh since yesterday. Residents and shops affected.,medium,1
Drain clogged near Nishatganj. Sewage smell affecting nearby residents.,medium,1
Minor road damage near Sector 14. Vehicles,low,0
Major road collapse near Sultanpur Road. Multiple vehicles stuck. Emergency.,critical,3
Waterlogging near Aminabad for a week. Road is difficult to cross on foot.,medium,1
Again reporting: Chowk mein badi baadhh aayi. Log chhat par hain. Rescue ki zaroorat hai. Daily inconvenience for everyone.,critical,3
Again reporting: Contaminated water causing mass illness near Aliganj. 20+ hospitalised.,critical,3
"Major sewage overflow near Vibhuti Khand. Cholera risk. Immediate action needed. Pehle bhi complaint ki thi, koi action nahi.",critical,3
Telibagh ke paas thoda paani bhara baarish ke baad. Jald saaf ho jaata hai.,low,0
Sadak par ek chota sa gaddha hai behind the bus stand ke paas. Abhi koi accident nahi hua.,low,0
Severe waterlogging near Aliganj. Water entering ground,high,2
Dustbin near Nishatganj slightly overflowing. Needs cleaning. No response to previous complaints.,low,0
Exposed live wires hanging near Civil Lines footpath after storm. Very dangerous.,high,2
Large dangerous pothole near behind the bus stand has caused 2 accidents this week.,high,2
Paint peeling from bridge wall near Chowk. Structural check needed,low,0
Floodwater near Alambagh blocking main road since last night. Vehicles stranded. Daily inconvenience for everyone.,high,2
Building collapsed near Civil Lines. People trapped under debris. URGENT.,critical,3
Kanpur Road ke paas building ki diwar mein dararein badh rahi hain,medium,1
"Sadak par ek chota sa gaddha hai Hazratganj ke paas. Abhi koi accident nahi hua. Pehle bhi complaint ki thi, koi action nahi.",low,0
Chinhat ke paas thoda paani bhara baarish ke baad. Jald saaf ho jaata hai. No response to previous complaints,low,0
Road damage near Rajajipuram is getting worse. Two-wheelers at risk at night.,medium,1
Nishatganj ke paas kachra thoda zyada ho gaya. Saaf karna chahiye.,low,0
Major sewage overflow near Chinhat. Cholera risk. Immediate action needed.,critical,3
One streetlight out near Mahanagar. Area still lit by other lights. This has been reported before with no action,low,0
Indira Nagar mein paani ghar mein ghus raha hai. Kafi families affected hain. Residents are very concerned,high,2
Again reporting: Severe waterlogging near Kanpur Road. Water entering ground floor shops and homes.,high,2
Sultanpur Road mein sewage overflow ho raha hai. Ghar mein ghus raha hai.,high,2
Paint peeling from bridge wall near Vibhuti Khand. Structural check needed.,low,0
Contaminated water causing mass illness near Aliganj. 20+ hospitalised.,critical,3
There is a small crack on the road near Faizabad Road. Not affecting traffic yet.,low,0
Major road collapse near Mahanagar. Multiple vehicles stuck. Emergency.,critical,3
A pothole has developed near Civil Lines. Vehicles are slowing down and swerving.,medium,1
Gomti Nagar mein paani ghar mein ghus raha hai. Kafi families affected hain.,high,2
Cracks developing on road overpass near Hazratganj. Needs inspection.,medium,1
A pothole has developed near Telibagh. Vehicles are slowing down and swerving.,medium,1
SEVERE WATERLOGGING NEAR INDIRA NAGAR. WATER ENTERING GROUND FLOOR SHOPS AND HOMES.,high,2
Road has partially collapsed near Jankipuram. Heavy vehicles cannot pass.,high,2
Paint peeling from bridge wall near Mahanagar. Structural check needed.,low,0
WATER CONTAMINATION REPORTED NEAR CHINHAT. PEOPLE FALLING ILL AFTER DRINKING.,high,2
A pothole has developed near Gomti Nagar. Vehicles are slowing down and swerving.,medium,1
near the main market ke paas thoda paani bhara baarish ke baad. Jald saaf ho jaata hai.,low,0
Mild smell from drain near Telibagh. Not a major issue yet.,low,0
Contaminated water causing mass illness near Indira Nagar. 20+ hospitalised,critical,3
Kanpur Road mein bijli ka pole gir gaya. Kai log zakhmi. Ambulance bhejo.,critical,3
Small puddle near Chinhat. No major inconvenience.,low,0
Alambagh mein sewage overflow ho raha hai. Ghar mein ghus raha hai.,high,2
Faizabad Road mein bijli ka pole gir gaya. Kai,critical,3
Floodwater near Gomti Nagar blocking main road for a week. Vehicles stranded.,high,2
Aliganj mein badi baadhh aayi. Log chhat par hain. Rescue ki zaroorat hai.,critical,3
Exposed live wires hanging near Indira Nagar footpath after storm. Very dangerous. Please look into this.,high,2
There is a small crack on the road near Civil Lines. Not affecting traffic yet.,low,0
Electricity pole tilting dangrously near near the main market. Could fall any time.,high,2
ELECTRICITY POLE TILTING DANGEROUSLY NEAR THAKURGANJ. COULD FALL ANY TIME.,high,2
Main water pipe burst near Aliganj. Road flooded. Supply cut to 200 homes. Daily inconvenience for everyone.,high,2
Aliganj ke paas imarat gir gayi. Log malaabe mein phanse hain. MADAD CHAHIYE.,critical,3
SCHOOL ROOF COLLAPSED NEAR GOMTI NAGAR. STUDENTS WERE INSIDE. RESCUE NEEDED.,critical,3
Raw sewage on road near Indira Nagar since,high,2
Drain clogged near Telibagh. Sewage smell affecting nearby residents.,medium,1
Aminabad ke paas diwar gir gayi. Rasta block ho gaya hai. Residents are very concerned.,high,2
Vibhuti Khand mein badi baadhh aayi. Log chhat par hain. Rescue ki zaroorat hai.,critical,3
Minor pipe leak near Thakurganj. Small puddle forming. Please look into this.,low,0
Sector 14 ke paas bada gaddha hai. Is hafte 2 accident ho chuke hain. This has been reported before with no action.,high,2
Water pressure slightly low near Nishatganj. Not a big issue.,low,0
Road has partially collapsed near Aliganj. Heavy vehicles cannot pass. Residents are very concerned.,high,2
Water supply disrupted near Faizabad Road since last night. Residents managing with stored water,medium,1
School roof collapsed near Thakurganj. Students were inside. Rescue needed,critical,3
Sewage pipeline burst near Vibhuti Khand. Entire area flooded with waste water.,critical,3
School roof collapsed near Mahanagar. Students were inside. Rescue needed.,critical,3
Contaminated water causing mass illness near,critical,3
Mild smell from drain near behind the bus stand. Not a major issue yet.,low,0
Drainage blocked near Mahanagar. Water standing on road after every rain.,medium,1
Electricity pole tilting dangerously near Civil Lines. Could fall any time.,high,2
There is a small crack on the road near Rajajipuram. Not affecting traffic yet.,low,0
Civil Lines ke paas diwar mein thodi si darar aa gayi. Koi khatre ki baat nahi.,low,0
Raw sewage on road near Sultanpur Road since morning. Children falling sick.,high,2
A pothole has developed near Gomti Nagar. Vehicles are slowing down and swerving,medium,1
near the main market ke paas thoda paani bhara baarish ke baad. Jald saaf ho jaata hai.,low,0
Again reporting: Aminabad ke paas sadak poori tarah dhaas gayi. Bada sinkhole ban gaya.,critical,3
Large section of wall collapsed near Hazratganj. Road partially blocked.,high,2
Gomti Nagar ke paas sadak poori tarah dhaas gayi. Bada sinkhole ban gaya.,critical,3
Road damage near near the main market is getting worse. Two-wheelers at risk at night.,medium,1
Indira Nagar ke paas bijli ka khamba jhuk gaya hai. Bahut khatarnak hai.,high,2
"A pothole has developed near Hazratganj. Vehicles are slowing down and swerving. Pehle bhi complaint ki thi, koi action nahi.",medium,1
Vibhuti Khand mein badi baadhh aayi. Log chhat par hain. Rescue ki zaroorat hai.,critical,3
AGAIN REPORTING: WATER CONTAMINATION REPORTED NEAR SECTOR 14. PEOPLE FALLING ILL AFTER DRINKING.,high,2
behind the bus stand mein paani for 2 days se nahi aa raha. Log,medium,1
Drainage blokced near Faizabad Road. Water standing on road after every rain.,medium,1
Street light near Telibagh is flickering. Still partially working. Jaldi kuch karo please.,low,0
Mahanagar ke paas paani ki pipe phut gayi. Sadak par paani bhar gaya.,high,2
Minor pipe leak near Indira Nagar. Small puddle forming.,low,0
"Again reporting: Alambagh ke paas sadak mein gaddha ho gaya. Gaadiyaan slow ho rahi hain. Pehle bhi complaint ki thi, koi action nahi.",medium,1
Exposed live wires hanging near Sultanpur Road footpath after storm. Very dangerous.,high,2
Live wire on ground near Nishatganj. One person already got shock. Emergency.,critical,3
Sadak par ek chota sa gaddha hai Hazratganj ke paas. Abhi koi accident,low,0
Mild smell from drain near Sector 14. Not a major issue yet. Pehle bhi,low,0
Bridge near Aminabad has developed serious cracks,high,2
Power outage near Gomti Nagar since yesterday.,medium,1
Pipe leaking near Aminabad since yesterday. Water wasted and road wet.,medium,1
Paint peeling from bridge wall near Alambagh. Structural check needed. This has been reported before with no action.,low,0
Nishatganj mein sewage overflow ho raha hai. Ghar mein ghus raha hai.,high,2
School roof collapsed near Kanpur Road. Students were inside. Rescue needed.,critical,3
Nishatganj ke paas ek light thodi weak ho gayi hai. Kaam chal raha hai.,low,0
Drainage blocked near Faizabad Road. Water standing on,medium,1
Hazratganj ke paas thoda paani bhara baarish ke baad. Jald saaf ho jaata hai,low,0
Road completely collapsed near Faizabad Road. Sinkhole formed. Area cordoned off,critical,3
Sector 14 ke paas sadak mein gaddha ho gaya. Gaadiyaan slow ho rahi hain.,medium,1
Kanpur Road ke paas sadak mein gaddha ho gaya. Gaadiyaan slow ho rahi hain.,medium,1
Sewage pipeline burst near Nishatganj. Entire area flooded with waste water.,critical,3
SEVERE WATERLOGGING NEAR BEHIND THE BUS STAND. WATER ENTERING GROUND FLOOR SHOPS AND HOMES.,high,2
Raw sewage on road near Sector 14 for a,high,2
Telibagh ke paas bada gaddha hai. Is hafte 2 accident ho chuke hain.,high,2
Drain clogged near behind the bus stand. Sewage,medium,1
"Rajajipuram mein paani since yesterday se nahi aa raha. Log tank se kaam chala rahe hain. Pehle bhi complaint ki thi, koi action nahi.",medium,1
ALIGANJ KE PAAS PAANI MEIN ZEHER MILNE KI KHABAR. LOG BEEMAR PAD RAHE HAIN.,critical,3
Power outage near Alambagh for a week. Residents and shops affected.,medium,1
Alambagh mein since last night se paani bhara hua hai. Logon ko dikkat ho rahi hai.,medium,1
Raw sewage on road near Telibagh since yesterday. Children falling sick.,high,2
Rajajipuram mein sewage overflow ho raha hai. Ghar mein ghus raha hai. Residents are very concerned.,high,2
Bridge near Nishatganj has developed serious cracks. Load limit exceeded,high,2
Chowk ke paas ek light thodi weak ho gayi,low,0
Water pressure slightly low near Rajajipuram. Not a big issue.,low,0
Street light near Mahanagar is flickering. Still partially working. Residents are very concerned,low,0
There is a small crack on the road near Gomti Nagar. Not affecting traffic yet.,low,0
Water supply disrupted near Thakurganj for a week. Residents managing with stored water.,medium,1
Again reporting: Paint peeling from bridge wall near Sector 14. Structural check needed. Residents are very concerned.,low,0
Contaminated water causing mass illness near,critical,3
SEVERE WATERLOGGING NEAR TELIBAGH. WATER ENTERING GROUND FLOOR SHOPS AND HOMES.,high,2
Street light near Alambagh is flickering. Still partially working. Daily inconvenience for everyone.,low,0
Rajajipuram ke paas diwar gir gayi. Rasta block ho gaya hai.,high,2
NISHATGANJ MEIN SEWAGE OVERFLOW HO RAHA HAI. GHAR MEIN GHUS RAHA HAI. NO RESPONSE TO PREVIOUS COMPLAINTS.,high,2
Major road collapse near Gomti Nagar. Multiple vehicles stuck. Emergency.,critical,3
Exposed live wires hanging near Jankipuram footpath after storm. Very dangerous. Jaldi kuch karo please.,high,2
Floodwater near Kanpur Road blocking main road since last night. Vehicles stranded.,high,2
"Severe waterlogging near Civil Lines. Water entering ground floor shops and homes. Pehle bhi complaint ki thi, koi action nahi.",high,2
"near the main market mein bijli ka pole gir gaya. Kai log zakhmi. Ambulance bhejo. Pehle bhi complaint ki thi, koi action nahi.",critical,3
Chinhat mein paani for a week se nahi aa raha. Log tank se kaam chala rahe hain.,medium,1
Major sewage overflow near Indira Nagar. Cholera risk. Immediate action needed.,critical,3
Water supply disrupted near Hazratganj for a week. Residents managing with stored water.,medium,1
Major road collapse near behind the bus stand. Multiple vehicles stuck. Emergency.,critical,3
Again reporting: Sector 14 ke paas kachra thoda zyada ho gaya. Saaf karna chahiye.,low,0
Floodwater near Chowk blocking main road for a week. Vehicles stranded.,high,2
Garbage not collected from Faizabad Road since last night. Smell and flies increasing.,medium,1
Chowk mein bijli ka pole gir gaya. Kai log zakhmi. Ambulance bhejo.,critical,3
NEAR THE MAIN MARKET MEIN SEWAGE OVERFLOW HO RAHA HAI. GHAR MEIN GHUS RAHA HAI.,high,2
High voltage pole fallen on road near Aliganj. Multiple people injured.,critical,3
Alambagh mein paani ghar mein ghus raha hai. Kafi families affected hain.,high,2
BEHIND THE BUS STAND KE PAAS SEWAGE PIPE PHUT GAYI. POORA AREA CONTAMINATED.,critical,3
Water pressure slightly low near Aliganj. Not,low,0
Again reporting: Sector 14 ke paas sewage pipe phut gayi. Poora area contaminated.,critical,3
Kanpur Road ke paas paani ki pipe phut gayi. Sadak par paani bhar gaya. Jaldi kuch karo please,high,2
Kanpur Road ke paas diwar gir gayi. Rasta block ho gaya hai. Please look into this.,high,2
Major road collapse near Sector 14. Multiple vehicles stuck. Emergency.,critical,3
One streetlight out near Sector 14. Area still,low,0
Minor road damage near Vibhuti Khand. Vehicles passing without issue.,low,0
Large section of wall collapsed near Alambagh.,high,2
Aliganj ke paas diwar mein thodi si darar aa gayi. Koi khatre ki baat nahi.,low,0
Again reporting: Mild smell from drain near Mahanagar. Not a major issue yet.,low,0
Road damage near behind the bus stand is getting worse.,medium,1
Kanpur Road ke paas sadak poori tarah dhaas gayi. Bada sinkhole ban gaya.,critical,3
Mild smell from drain near Nishatganj. Not a major issue yet. This has been reported before with no action.,low,0
Aminabad mein for 2 days se bijli nahi hai raat ko. Log pareshan hain.,medium,1
Jankipuram ke paas bijli ka khamba jhuk gaya hai. Bahut khatarnak hai.,high,2
Sewage pipeline burst near Hazratganj. Entire area flooded with waste water.,critical,3
Floodwater near Thakurganj blocking main road since morning. Vehicles stranded.,high,2
High voltage pole fallen on road near Vibhuti Khand. Multiple people injured,critical,3
Sewage overflowing into residential area near Hazratganj. Health risk.,high,2
Again reporting: School roof collapsed near Aminabad. Students were inside. Rescue needed. Jaldi kuch karo please.,critical,3
behind the bus stand mein since last night se bijli nahi,medium,1
A pothole has developed near Vibhuti Khand. Vehicles are slowing down and swerving.,medium,1
Live wire on ground near Kanpur Road. One person already got shock. Emergency.,critical,3
Waterlogging near Sultanpur Road for 2 days. Road is difficult to cross on foot.,medium,1
EXPOSED LIVE WIRES HANGING NEAR VIBHUTI KHAND FOOTPATH AFTER STORM. VERY DANGEROUS.,high,2
Telibagh ke paas kachra thoda zyada ho,low,0
Contaminated water causing mass illness near Vibhuti Khand. 20+ hospitalised. Kindly take action,critical,3
Dustbin near Vibhuti Khand slightly overflowing. Needs cleaning. Kindly take action.,low,0
Cracks developing on road overpass near Sector 14. Needs inspection.,medium,1
Mild smell from drain near Mahanagar. Not a major issue yet.,low,0
Street light near Faizabad Road is flickering. Still partially working. Residents are very concerned.,low,0
Water supply disrupted near Gomti Nagar for 2 days.,medium,1
Flash flood near Sector 14. Entire street submerged. People stranded on rooftops.,critical,3
near the main market ke paas building ki diwar mein dararein badh rahi hain.,medium,1
Civil Lines ke paas paani ki pipe phut gayi. Sadak par paani bhar gaya.,high,2
One streetlight out near Thakurganj. Area still lit by other lights.,low,0
Road completely collapsed near Civil Lines. Sinkhole formed. Area cordoned off.,critical,3
Minor pipe leak near Gomti Nagar. Small puddle forming. Jaldi kuch karo please.,low,0
Again reporting: Nishatganj ke paas sewage pipe phut,critical,3
